Date,ABB,APA,BKR,BP,CLR,COP,CTRA,CVX,DVN,E,EC,ENB,EOG,EQNR,EQT,FANG,HAL,HES,MPC,MPLX,MRO,OVV,OXY,PBA,PBR,PSX,PTR,PXD,SHEL,SLB,SNP,SSL,TPL,TTE,VLO,WDS,XOM
2018-10-16,18.7166805267334,41.31438064575195,27.24178123474121,35.76802062988281,60.94401550292969,65.78553009033203,20.74340057373047,98.70478057861328,31.275957107543945,29.302257537841797,18.116619110107422,26.817615509033203,106.03247833251953,23.529922485351562,25.253925323486328,119.21842193603516,37.27617263793945,61.7014045715332,68.59862518310547,23.54083824157715,20.183263778686523,51.10297393798828,65.16485595703125,27.29423713684082,10.632593154907227,93.3232650756836,63.16994094848633,154.2559814453125,55.45569610595703,52.7139892578125,60.89848709106445,36.472843170166016,743.2503051757812,48.683319091796875,87.7173080444336,22.499526977539062,65.51775360107422
2018-10-17,18.629505157470703,40.17267990112305,27.197612762451172,35.48794937133789,59.46066665649414,64.60887145996094,20.65660858154297,98.51998901367188,30.365007400512695,28.703275680541992,18.229318618774414,26.0305118560791,104.1938247680664,23.24633026123047,25.147727966308594,118.02457427978516,36.79255294799805,60.744930267333984,67.8104248046875,23.050540924072266,19.906911849975586,50.65194320678711,64.98661041259766,27.167646408081055,10.685823440551758,92.40583038330078,61.96180725097656,151.2519073486328,54.75830078125,52.32535171508789,59.74919509887695,36.147544860839844,740.1898803710938,48.432044982910156,85.92003631591797,22.516963958740234,65.75981140136719
2018-10-18,18.49002456665039,39.290897369384766,26.90611457824707,35.09587097167969,57.69431686401367,64.70692443847656,20.474346160888672,98.67118072509766,29.605880737304688,27.89664649963379,17.856000900268555,25.99838638305664,102.81488037109375,22.679136276245117,24.786651611328125,115.70072937011719,35.3416748046875,60.116668701171875,67.52769470214844,22.88490104675293,19.582908630371094,50.110694885253906,64.07758331298828,26.677152633666992,10.200103759765625,92.69464874267578,60.093204498291016,149.2255096435547,54.36338424682617,51.609893798828125,57.330745697021484,34.32390213012695,729.6782836914062,47.529056549072266,85.63017272949219,22.18570327758789,66.04220581054688
2018-10-19,18.289518356323242,39.30956268310547,26.44678497314453,35.2078857421875,57.704078674316406,64.61779022216797,20.804153442382812,99.23397064208984,29.470924377441406,28.335895538330078,18.02505111694336,26.25539779663086,102.05169677734375,23.186174392700195,24.627357482910156,115.82829284667969,34.91386795043945,59.60093307495117,63.3297004699707,22.878273010253906,19.697265625,50.471527099609375,64.32711791992188,27.04897689819336,10.306563377380371,87.30048370361328,60.77781677246094,148.23007202148438,55.06078338623047,51.64522933959961,58.162742614746094,34.797061920166016,720.3294067382812,47.7489128112793,76.82614135742188,22.403636932373047,66.13904571533203
2018-10-22,18.289518356323242,38.553260803222656,26.490951538085938,34.519737243652344,56.289039611816406,64.22555541992188,20.101137161254883,98.4527816772461,29.411880493164062,27.920602798461914,18.1729679107666,25.861845016479492,100.82015991210938,22.6705379486084,23.5919246673584,113.51356506347656,33.853614807128906,59.01953887939453,63.50961685180664,22.633127212524414,19.49714469909668,50.742149353027344,64.42515563964844,27.10435676574707,10.672516822814941,87.623291015625,61.76850128173828,144.8883056640625,54.531436920166016,50.178993225097656,58.45888900756836,34.72806167602539,688.4691772460938,46.95585632324219,76.90069580078125,22.107250213623047,65.4774169921875
2018-10-23,18.11516761779785,37.143341064453125,25.510459899902344,33.84758377075195,54.3275146484375,61.70289993286133,19.736614227294922,95.25251007080078,28.450332641601562,27.489336013793945,17.42633056640625,25.966262817382812,96.37107849121094,22.05178451538086,22.545869827270508,108.5468978881836,33.10957336425781,57.60359573364258,61.76189041137695,22.739139556884766,18.56326675415039,48.08100891113281,62.954647064208984,27.333782196044922,10.466251373291016,84.77754211425781,59.456912994384766,141.29763793945312,53.027400970458984,48.65974807739258,56.47758483886719,33.2987174987793,684.3204956054688,46.264854431152344,75.91510009765625,21.191923141479492,64.42041778564453
2018-10-24,17.33930206298828,35.45330810546875,24.194303512573242,32.799346923828125,52.004913330078125,58.55624771118164,18.382646560668945,92.57300567626953,27.100772857666016,26.49102783203125,16.369760513305664,25.315698623657227,92.05206298828125,21.510377883911133,21.4838924407959,102.88761138916016,31.83541488647461,54.537288665771484,58.309242248535156,21.950687408447266,17.48644256591797,46.00621795654297,60.80687713623047,26.733963012695312,10.053722381591797,80.95491790771484,57.58830261230469,133.2986297607422,51.54859161376953,46.82252883911133,56.06158447265625,32.09610366821289,658.0602416992188,44.72584533691406,71.79882049560547,20.651447296142578,62.62916564941406
2018-10-25,17.269559860229492,35.62138366699219,24.335634231567383,33.27946090698242,52.84416961669922,60.633216857910156,18.573591232299805,93.72376251220703,27.70806884765625,26.994176864624023,16.566986083984375,25.050655364990234,92.90199279785156,22.043190002441406,18.76521873474121,104.10879516601562,32.30973815917969,55.31558609008789,59.937049865722656,21.857933044433594,17.905736923217773,47.53976058959961,61.1811637878418,26.63067626953125,10.359792709350586,83.66473388671875,58.58705139160156,136.52493286132812,52.04432678222656,47.07868194580078,57.16857147216797,33.022708892822266,671.427490234375,45.67594528198242,72.37027740478516,21.02629280090332,63.18589401245117
2018-10-26,17.008033752441406,34.911746978759766,24.167804718017578,32.88737487792969,52.24888229370117,61.04327392578125,19.892837524414062,93.6817626953125,27.31163787841797,27.5532283782959,16.61629295349121,25.10687255859375,92.41630554199219,22.043190002441406,17.283750534057617,103.67134857177734,32.68175506591797,54.49040222167969,58.99465560913086,21.579654693603516,17.810440063476562,46.231727600097656,60.52168273925781,26.281112670898438,10.805590629577637,84.48020935058594,58.03935623168945,133.01425170898438,52.01912307739258,46.725372314453125,57.873661041259766,32.28339385986328,662.3206176757812,45.41682815551758,71.05341339111328,20.68631362915039,62.556549072265625
2018-10-29,16.816246032714844,33.78195571899414,23.487642288208008,32.831363677978516,49.15532302856445,60.035980224609375,19.927553176879883,91.49784851074219,26.130773544311523,27.65705108642578,16.278188705444336,24.488439559936523,88.49626159667969,21.83693504333496,16.460716247558594,98.57707977294922,32.01213073730469,52.661865234375,57.598175048828125,21.811552047729492,17.295854568481445,44.69819641113281,59.229434967041016,25.844158172607422,10.353137969970703,83.69022369384766,56.831214904785156,127.16609191894531,51.46456527709961,45.444618225097656,56.12504577636719,31.89895248413086,642.6555786132812,44.984954833984375,72.37027740478516,20.71246910095215,62.16924285888672
