Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
MMC,Marsh & McLennan Companies Inc. Common Stock,$160.53,1.88,1.185%,79393555029.00,United States,,1619814,Finance,Specialty Insurers
MS,Morgan Stanley Common Stock,$83.95,-1.89,-2.202%,140616250000.00,United States,,10978741,Finance,Investment Bankers/Brokers/Service
MSCI,MSCI Inc Common Stock,$543.10,-3.86,-0.706%,43426270026.00,United States,,323337,Finance,Advertising
MTB,M&T Bank Corporation Common Stock,$114.93,2.56,2.278%,19455925050.00,United States,,3069281,Finance,Major Banks
MUFG,Mitsubishi UFJ Financial Group Inc. Common Stock,$6.26,-0.01,-0.159%,75987553368.00,Japan,,7661133,Finance,Commercial Banks
NDAQ,Nasdaq Inc. Common Stock,$53.07,0.58,1.105%,26218348399.00,United States,,2892523,Finance,Investment Bankers/Brokers/Service
NIO,NIO Inc. American depositary shares each  representing one Class A ordinary share,$9.07,-0.20,-2.157%,15151740069.00,,2018,28666131,Finance,Finance Companies
NMR,Nomura Holdings Inc ADR American Depositary Shares,$3.75,0.03,0.806%,11258630258.00,Japan,,983043,Finance,Investment Bankers/Brokers/Service
NTRS,Northern Trust Corporation Common Stock,$83.43,0.21,0.252%,17389148040.00,United States,,1102926,Finance,Trusts Except Educational Religious and Charitable
NU,Nu Holdings Ltd. Class A Ordinary Shares,$4.17,-0.09,-2.113%,19538801638.00,Cayman Islands,2021,21416659,Finance,Finance: Consumer Services
NWG,NatWest Group plc American Depositary Shares (each representing two (2) Ordinary Shares),$6.43,-0.09,-1.38%,31093657892.00,United Kingdom,2022,3245953,Finance,Commercial Banks
PFG,Principal Financial Group Inc Common Stock,$71.59,0.33,0.463%,17403824166.00,United States,2001,1870745,Finance,Investment Managers
PGR,Progressive Corporation (The) Common Stock,$140.43,2.60,1.886%,82137507000.00,United States,,3227315,Finance,Property-Casualty Insurers
PNC,PNC Financial Services Group Inc. (The) Common Stock,$124.15,2.02,1.654%,49784150000.00,United States,,4137309,Finance,Major Banks
